Position,TrackName,Artist,Date,Country,Indicators
7,Let Me Love You                                                             ,DJ Snake         ,07/01/2017,tr,0 0 1 0 0 0
8,Closer                                                                      ,The Chainsmokers ,07/01/2017,tr,0 0 1 0 0 0
9,Heathens                                                                    ,Twenty One Pilots,07/01/2017,tr,0 0 1 0 0 0
10,Haydi Söyle                                                                ,Kalben           ,07/01/2017,tr,0 0 1 0 0 0
1,Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,08/01/2017,tr,0 0 1 0 0 0
2,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,tr,0 0 1 0 0 0
3,Starboy                                                                     ,The Weeknd       ,08/01/2017,tr,0 0 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08/01/2017,tr,0 0 1 0 0 0
5,Affet                                                                       ,Müslüm Gürses ,08/01/2017,tr,0 0 1 0 0 0
6,366.Gün                                                                    ,Sagopa Kajmer    ,08/01/2017,tr,0 0 1 0 0 0
7,Castle on the Hill                                                          ,Ed Sheeran       ,08/01/2017,tr,0 0 1 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,08/01/2017,tr,0 0 1 0 0 0
9,Closer                                                                      ,The Chainsmokers ,08/01/2017,tr,0 0 1 0 0 0
10,Heathens                                                                    ,Twenty One Pilots,08/01/2017,tr,0 0 1 0 0 0
1,Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,09/01/2017,tr,0 0 1 0 0 0
2,Shape of You                                                                ,Ed Sheeran       ,09/01/2017,tr,0 0 1 0 0 0
3,Starboy                                                                     ,The Weeknd       ,09/01/2017,tr,0 0 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,tr,0 0 1 0 0 0
5,Affet                                                                       ,Müslüm Gürses ,09/01/2017,tr,0 0 1 0 0 0
6,366.Gün                                                                    ,Sagopa Kajmer    ,09/01/2017,tr,0 0 1 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,09/01/2017,tr,0 0 1 0 0 0
8,Castle on the Hill                                                          ,Ed Sheeran       ,09/01/2017,tr,0 0 1 0 0 0
9,Closer                                                                      ,The Chainsmokers ,09/01/2017,tr,0 0 1 0 0 0
10,Heathens                                                                    ,Twenty One Pilots,09/01/2017,tr,0 0 1 0 0 0
