Artist,Country,Streams
Bruce Springsteen,de,309382
Dean Martin      ,de,302484
Prinz Pi         ,de,300612
The Ronettes     ,de,299440
NEIKED           ,de,297460
Wizzard          ,de,292725
Hailee Steinfeld ,de,258648
Jazn             ,de,217478
Macklemore & Ryan,de,200154
Alex Christensen ,de,191168
SXTN             ,de,181143
Ingo ohne Flaming,de,174796
Max Giesinger    ,de,77889
Ed Sheeran       ,dk,35944731
Gilli            ,dk,20903305
KESI             ,dk,15516169
Post Malone      ,dk,13782328
Scarlet Pleasure ,dk,13616239
NODE             ,dk,12599276
Luis Fonsi       ,dk,12089545
Gulddreng        ,dk,11123736
DJ Khaled        ,dk,10026504
Calvin Harris    ,dk,8683168
The Chainsmokers ,dk,8672608
Molo             ,dk,8421885
Skinz            ,dk,8210105
Kygo             ,dk,7749611
French Montana   ,dk,7467349
Clean Bandit     ,dk,6999418
ZAYN             ,dk,6837776
Sleiman          ,dk,6829976
Maroon 5         ,dk,6094806
Shawn Mendes     ,dk,5988606
Justin Bieber    ,dk,5959630
Sam Smith        ,dk,5803586
Camila Cabello   ,dk,5536273
Drake            ,dk,5448921
Logic            ,dk,5412933
Charlie Puth     ,dk,5238433
Marshmello       ,dk,5197006
Julia Michaels   ,dk,5172889
Jonas Blue       ,dk,5136582
Rasmus Seebach   ,dk,5022203
Martin Garrix    ,dk,4908970
Lil Uzi Vert     ,dk,4714282
The Weeknd       ,dk,4619274
Future           ,dk,4521855
Dua Lipa         ,dk,4413146
Basim            ,dk,4373933
David Guetta     ,dk,4293445
J Balvin         ,dk,4177245
Page Four        ,dk,3972968
Khalid           ,dk,3929781
Maggie Lindemann ,dk,3844517
ItaloBrothers    ,dk,3786485
Selena Gomez     ,dk,3575132
Kendrick Lamar   ,dk,3573103
Jax Jones        ,dk,3537880
Astrid S         ,dk,3537123
Lauv             ,dk,3504937
NF               ,dk,3470500
Major Lazer      ,dk,3368284
Citybois         ,dk,3316978
Avicii           ,dk,3180492
Jimilian         ,dk,3095770
Zedd             ,dk,3004060
Liam Payne       ,dk,2956705
Axwell /\ Ingross,dk,2930132
James Arthur     ,dk,2929461
Starley          ,dk,2918402
Jason Derulo     ,dk,2785539
Rita Ora         ,dk,2682505
Martin Jensen    ,dk,2661032
PAY              ,dk,2632525
Burak Yeter      ,dk,2620635
Fie Laursen      ,dk,2537898
Alessia Cara     ,dk,2507946
Mariah Carey     ,dk,2506614
Niklas           ,dk,2503714
MellemFingaMuzik ,dk,2486430
Wham!            ,dk,2453509
Blak             ,dk,2396796
JP Cooper        ,dk,2392767
Bruno Mars       ,dk,2263378
Cheat Codes      ,dk,2226768
XXXTENTACION     ,dk,2084967
Macklemore       ,dk,2071584
Hugo Helmig      ,dk,1986254
Joey Moe         ,dk,1946015
Niall Horan      ,dk,1872374
ZK               ,dk,1824796
Lukas Graham     ,dk,1805532
Shakin' Stevens  ,dk,1755581
Fouli            ,dk,1731359
Eminem           ,dk,1696877
TopGunn          ,dk,1683893
The Vamps        ,dk,1657597
Albert Dyrlund   ,dk,1643300
Ariana Grande    ,dk,1623260
Snakehips        ,dk,1614054
Lil Pump         ,dk,1584059
Nik & Jay        ,dk,1540957
Michael Bublé   ,dk,1509554
Demi Lovato      ,dk,1492281
Burhan G         ,dk,1476845
Mads Langer      ,dk,1468674
Imagine Dragons  ,dk,1431272
Britney Spears   ,dk,1411934
Chris Rea        ,dk,1410376
Julie            ,dk,1404413
Juice            ,dk,1398948
Big Shaq         ,dk,1364193
Jamaika          ,dk,1348989
Isaiah           ,dk,1341783
Travis Scott     ,dk,1337158
Katy Perry       ,dk,1322917
Life of Dillon   ,dk,1320044
Miley Cyrus      ,dk,1300793
Noah Carter      ,dk,1245954
G-Eazy           ,dk,1202555
P!nk             ,dk,1195407
Mc Einar         ,dk,1130522
Vigiland         ,dk,1117319
Jon Bellion      ,dk,1112871
Steve Aoki       ,dk,1106166
Amanda           ,dk,1101823
AJR              ,dk,1068781
Jeppe Loftager   ,dk,1059963
Band Aid         ,dk,1059479
MØ              ,dk,1032934
Alex & Sierra    ,dk,1019387
Taylor Swift     ,dk,1007543
Emil Stabil      ,dk,962453
Suspekt          ,dk,956249
James TW         ,dk,935541
Jesu Brødre     ,dk,927982
Faustix          ,dk,916191
Rag'n'Bone Man   ,dk,899471
Thomas Helmig    ,dk,898681
Zara Larsson     ,dk,891232
Drengene Fra Ango,dk,889921
Kelly Clarkson   ,dk,876610
Dicte            ,dk,845729
Benny Jamz       ,dk,839295
Harry Styles     ,dk,820534
Sage The Gemini  ,dk,792951
Mel & Kim        ,dk,766839
Gigis            ,dk,762198
Louis Tomlinson  ,dk,761361
Mura Masa        ,dk,758536
Ham VolKan       ,dk,756909
Pretty           ,dk,751889
Christopher      ,dk,734398
21 Savage        ,dk,724185
Sivas            ,dk,713749
Anita Kerr Singer,dk,659089
Anders Matthesen ,dk,653904
Galantis         ,dk,652583
Alok             ,dk,632637
Alan Walker      ,dk,629493
Phlake           ,dk,617823
Train            ,dk,613717
Rae Sremmurd     ,dk,605932
Carmon           ,dk,596898
John Lennon      ,dk,562781
Gabrielle        ,dk,555315
SJUR             ,dk,535552
Robin Schulz     ,dk,503907
Medina           ,dk,496871
Fætr            ,dk,490064
Migos            ,dk,464679
Calum Scott      ,dk,448942
Chris Brown      ,dk,447008
Dean Martin      ,dk,445032
Kylie Minogue    ,dk,413529
NEIKED           ,dk,407006
Enrique Iglesias ,dk,401124
José Feliciano  ,dk,396767
Boney M.         ,dk,390208
Halsey           ,dk,386913
Noah Cyrus       ,dk,383496
Hailee Steinfeld ,dk,375254
Andy Grammer     ,dk,371946
DJ Snake         ,dk,363501
Omar             ,dk,362121
Bobby Helms      ,dk,343543
Bro              ,dk,338365
Nevada           ,dk,321787
Tony Bennett     ,dk,309560
BasedBoys        ,dk,307614
Bing Crosby      ,dk,296934
ALMA             ,dk,294493
RH               ,dk,277579
Ude Af Kontrol   ,dk,260962
Vild Smith       ,dk,258836
HEDEGAARD        ,dk,235411
                 ,dk,200105
Portugal. The Man,dk,179178
Lågsus          ,dk,175052
Morten           ,dk,165383
Skrillex         ,dk,157069
Bebe Rexha       ,dk,147014
Gasolin'         ,dk,128427
Shu-Bi-Dua       ,dk,125786
Queen            ,dk,124015
Gnags            ,dk,123633
Andy Williams    ,dk,115961
De Nattergale    ,dk,115754
Meghan Trainor   ,dk,110802
Anne Linnet      ,dk,106446
KIDD             ,dk,95458
Kongsted         ,dk,93681
Michael Jackson  ,dk,87840
Anja Nissen      ,dk,82523
Don Omar         ,dk,80033
Justin Timberlake,dk,70668
Linkin Park      ,dk,70051
Rune RK          ,dk,69531
Backstreet Boys  ,dk,66376
Lorde            ,dk,65045
Coldplay         ,dk,61457
You Know Who     ,dk,57778
Daniel Schulz    ,dk,57576
Dzeko & Torres   ,dk,57233
Tim Christensen  ,dk,57074
Sia              ,dk,57005
Mohombi          ,dk,50199
Flo Rida         ,dk,50090
Alexandra Stan   ,dk,49868
Macklemore & Ryan,dk,48383
The Pointer Siste,dk,45986
Kato             ,dk,43887
Whitney Houston  ,dk,42022
ICEKIID          ,dk,37957
Livid            ,dk,30747
Volbeat          ,dk,21785
Ozuna            ,do,3613650
Bad Bunny        ,do,2623616
J Balvin         ,do,2314532
Farruko          ,do,1597535
Romeo Santos     ,do,1491244
Wisin            ,do,1452790
Maluma           ,do,1250105
Luis Fonsi       ,do,1173318
Anuel Aa         ,do,1100463
Danny Ocean      ,do,957182
Chris Jeday      ,do,908531
Ed Sheeran       ,do,873217
Daddy Yankee     ,do,869590
Shakira          ,do,747427
Nicky Jam        ,do,740513
Yandel           ,do,687345
Zion & Lennox    ,do,643479
Arcangel         ,do,590633
CNCO             ,do,585435
El Nene La amenaz,do,581941
Nacho            ,do,560495
The Chainsmokers ,do,516533
Karol G          ,do,475880
Rvssian          ,do,462756
Drake            ,do,459380
Revol            ,do,428430
Natti Natasha    ,do,419420
Jory Boy         ,do,419126
Becky G          ,do,402044
DJ Khaled        ,do,394087
Carlos Vives     ,do,388078
El Alfa          ,do,384719
Bryant Myers     ,do,357703
Bruno Mars       ,do,332640
Manuel Turizo    ,do,328363
The Weeknd       ,do,327837
Don Omar         ,do,314701
Gigolo Y La Exce ,do,311980
ZAYN             ,do,295736
French Montana   ,do,246080
Ricky Martin     ,do,242702
Post Malone      ,do,235835
Brytiago         ,do,233213
Dua Lipa         ,do,210895
Enrique Iglesias ,do,209207
Charlie Puth     ,do,206533
Martin Garrix    ,do,197847
Sam Smith        ,do,196431
Kygo             ,do,190241
Alex Sensation   ,do,186274
DJ Snake         ,do,175941
David Guetta     ,do,164400
Chino & Nacho    ,do,154645
IAmChino         ,do,148055
Cardi B          ,do,147756
Calvin Harris    ,do,141143
Camila Cabello   ,do,131725
Jason Derulo     ,do,129805
Maroon 5         ,do,122862
Lenny Tavárez   ,do,118635
"Tito ""El Bambino""",do,116629
Zedd             ,do,110036
Clean Bandit     ,do,100962
Goldy Boy        ,do,98546
Musicologo The Li,do,96352
Klasico          ,do,87597
DJ Jonathan      ,do,82397
Pitbull          ,do,81089
Anitta           ,do,73369
Demi Lovato      ,do,71876
Lil Pump         ,do,70819
Taylor Swift     ,do,68077
Lirico En La Casa,do,63184
Major Lazer      ,do,63087
Selena Gomez     ,do,59364
Katy Perry       ,do,50842
Kendrick Lamar   ,do,50116
Piso 21          ,do,45538
Ariana Grande    ,do,44790
Ceky Viciny      ,do,40933
Mc's Zaac & Jerry,do,38517
Justin Bieber    ,do,36058
Vicente Garcia   ,do,33998
DJ Nelson        ,do,32856
Rae Sremmurd     ,do,18170
Miley Cyrus      ,do,16881
Toño Rosario    ,do,15098
Liro Shaq        ,do,14569
MC Fioti         ,do,10714
De La Ghetto     ,do,10368
DJ Tetraguy      ,do,9001
Lapiz Conciente  ,do,6235
Linkin Park      ,do,4596
                 ,do,4469
Chimbala         ,do,2097
Bulin 47         ,do,2021
Luis Fonsi       ,ec,4069363
Ed Sheeran       ,ec,2804976
J Balvin         ,ec,2447723
CNCO             ,ec,2426848
Nicky Jam        ,ec,2181303
Danny Ocean      ,ec,2035945
Wisin            ,ec,1989108
Sebastian Yatra  ,ec,1922896
Maluma           ,ec,1894408
Shakira          ,ec,1851078
Zion & Lennox    ,ec,1653905
The Chainsmokers ,ec,1639541
Piso 21          ,ec,1510424
Daddy Yankee     ,ec,1422622
Ozuna            ,ec,1333108
The Weeknd       ,ec,1298728
Enrique Iglesias ,ec,1179531
Carlos Vives     ,ec,1165103
IAmChino         ,ec,1154038
Anuel Aa         ,ec,1076580
Ricky Martin     ,ec,1067306
Farruko          ,ec,1040191
DJ Snake         ,ec,902126
Clean Bandit     ,ec,861824
Don Omar         ,ec,836818
Chino & Nacho    ,ec,833895
Nacho            ,ec,823672
Bruno Mars       ,ec,822667
Maroon 5         ,ec,759602
Xantos           ,ec,710790
Kygo             ,ec,668399
Alejandro Fernand,ec,647722
Pitbull          ,ec,600525
Calvin Harris    ,ec,569780
Martin Garrix    ,ec,551472
Manuel Turizo    ,ec,549036
ZAYN             ,ec,547896
Chris Jeday      ,ec,546414
Cali Y El Dandee ,ec,540577
Charly Black     ,ec,538683
Bad Bunny        ,ec,510462
Drake            ,ec,508706
Charlie Puth     ,ec,393210
Carlos Baute     ,ec,319905
Katy Perry       ,ec,245120
Juanes           ,ec,235482
Major Lazer      ,ec,234371
Thalía          ,ec,232045
Becky G          ,ec,184396
Reik             ,ec,181089
Mike Posner      ,ec,170619
Natti Natasha    ,ec,166194
Ariana Grande    ,ec,164522
Cosculluela      ,ec,161400
Steve Aoki       ,ec,160858
Prince Royce     ,ec,153622
DJ Khaled        ,ec,148149
Alex Sensation   ,ec,147346
Joey Montana     ,ec,145052
Yandel           ,ec,144908
Felipe Peláez   ,ec,138234
Valentino        ,ec,128600
Shawn Mendes     ,ec,123423
Romeo Santos     ,ec,117764
Zedd             ,ec,114785
Jason Derulo     ,ec,109442
Abraham Mateo    ,ec,109399
Camila Cabello   ,ec,95377
Silvestre Dangond,ec,91994
MC Kevinho       ,ec,87424
Anitta           ,ec,85435
Jesse & Joy      ,ec,85286
Juan Magán      ,ec,76672
Dua Lipa         ,ec,76177
Justin Timberlake,ec,75682
Harry Styles     ,ec,68181
Wolfine          ,ec,64906
Sia              ,ec,56717
Morat            ,ec,55040
Maite Perroni    ,ec,54197
David Guetta     ,ec,51164
Mau y Ricky      ,ec,49959
Twenty One Pilots,ec,49688
El Nene La amenaz,ec,44927
Karol G          ,ec,43829
MC Fioti         ,ec,39702
Dj Kass          ,ec,31648
Gente De Zona    ,ec,23741
Sam Smith        ,ec,16402
Alok             ,ec,13475
Taylor Swift     ,ec,12968
Jennifer Lopez   ,ec,10755
José Feliciano  ,ec,8214
Mariah Carey     ,ec,6673
Luis Miguel      ,ec,6322
De La Ghetto     ,ec,6108
Chyno Miranda    ,ec,5331
Miley Cyrus      ,ec,4885
Justin Bieber    ,ec,4885
Cabas            ,ec,3734
Ed Sheeran       ,ee,1053539
The Chainsmokers ,ee,491835
Imagine Dragons  ,ee,355534
Post Malone      ,ee,349013
Martin Garrix    ,ee,328786
Luis Fonsi       ,ee,308023
Kygo             ,ee,288488
ZAYN             ,ee,264487
Kendrick Lamar   ,ee,257819
Clean Bandit     ,ee,250991
Calvin Harris    ,ee,235270
Drake            ,ee,194059
Maroon 5         ,ee,181285
The Weeknd       ,ee,169197
Zedd             ,ee,166030
DJ Khaled        ,ee,165769
Martin Jensen    ,ee,152335
Julia Michaels   ,ee,143401
Selena Gomez     ,ee,142149
Future           ,ee,140986
French Montana   ,ee,138684
Major Lazer      ,ee,136440
Axwell /\ Ingross,ee,135978
Starley          ,ee,135129
Charlie Puth     ,ee,130550
Alan Walker      ,ee,130054
Robin Schulz     ,ee,128547
Shawn Mendes     ,ee,128313
Jonas Blue       ,ee,121985
Lil Uzi Vert     ,ee,121576
Camila Cabello   ,ee,115162
Jon Bellion      ,ee,101851
David Guetta     ,ee,100138
Katy Perry       ,ee,94144
G-Eazy           ,ee,93105
Dua Lipa         ,ee,92481
Niall Horan      ,ee,90561
Alessia Cara     ,ee,89479
Cheat Codes      ,ee,89063
Liam Payne       ,ee,84620
James Arthur     ,ee,83196
AJR              ,ee,81759
Maggie Lindemann ,ee,81154
Jason Derulo     ,ee,80930
Rita Ora         ,ee,80089
Bruno Mars       ,ee,79882
The Vamps        ,ee,76703
Logic            ,ee,75319
Machine Gun Kelly,ee,74262
Lauv             ,ee,73846
Steve Aoki       ,ee,72828
Halsey           ,ee,72360
Marshmello       ,ee,71556
Harry Styles     ,ee,71299
J Balvin         ,ee,70117
NOËP            ,ee,70103
Alok             ,ee,68280
Avicii           ,ee,67535
Reket            ,ee,67428
Sam Smith        ,ee,66522
OneRepublic      ,ee,66283
Lorde            ,ee,65243
Burak Yeter      ,ee,65100
Miley Cyrus      ,ee,61430
Khalid           ,ee,56916
Petit Biscuit    ,ee,56592
Hailee Steinfeld ,ee,56395
Jax Jones        ,ee,54245
Bebe Rexha       ,ee,53923
Portugal. The Man,ee,52138
Eminem           ,ee,51449
NF               ,ee,49351
JP Cooper        ,ee,48750
Louis Tomlinson  ,ee,43857
Macklemore       ,ee,43250
Sage The Gemini  ,ee,42513
Demi Lovato      ,ee,41862
Olivia Holt      ,ee,40798
Childish Gambino ,ee,40757
Whogaux          ,ee,38783
Enrique Iglesias ,ee,38758
Mariah Carey     ,ee,38190
Lil Pump         ,ee,37652
Taylor Swift     ,ee,37080
ItaloBrothers    ,ee,36522
Justin Bieber    ,ee,35843
KYLE             ,ee,35522
DJ Snake         ,ee,34672
21 Savage        ,ee,32385
Rae Sremmurd     ,ee,31209
Arop             ,ee,29337
Wham!            ,ee,28543
XXXTENTACION     ,ee,28070
Snakehips        ,ee,23268
Migos            ,ee,22186
P!nk             ,ee,21093
Lil Peep         ,ee,20373
Blanche          ,ee,19534
Karl-Erik Taukar ,ee,17693
Brenda Lee       ,ee,17576
Rag'n'Bone Man   ,ee,17318
John Legend      ,ee,16172
Frank Sinatra    ,ee,15618
Lady Gaga        ,ee,15104
Lil Xan          ,ee,14979
Moon Taxi        ,ee,14641
Bing Crosby      ,ee,14444
Andy Williams    ,ee,14085
CNCO             ,ee,12003
Cardi B          ,ee,11670
Band Aid         ,ee,11586
Skrillex         ,ee,11421
Michael Bublé   ,ee,11083
Lana Del Rey     ,ee,10908
Sia              ,ee,10778
Stanaj           ,ee,10188
Aaron Carter     ,ee,9597
Kiiara           ,ee,8932
Kristian Kostov  ,ee,8774
Ariana Grande    ,ee,8289
Big Shaq         ,ee,7862
Salvador Sobral  ,ee,7274
Nat King Cole    ,ee,6863
Lord Huron       ,ee,6669
Sunstroke Project,ee,6386
Vice             ,ee,6182
Mykola Dmytrovych,ee,5572
Ariadne          ,ee,5472
Little Mix       ,ee,5454
Bobby Helms      ,ee,5238
Hearts & Colors  ,ee,5184
Pápai Joci      ,ee,5054
BTS              ,ee,4859
Burl Ives        ,ee,4769
Twenty One Pilots,ee,4277
DVBBS            ,ee,4117
Anita Kerr Singer,ee,4022
Cashmere Cat     ,ee,3521
JOWST            ,ee,3477
Vince Guaraldi Tr,ee,3375
Laura            ,ee,3343
Rammstein        ,ee,3290
Isaiah           ,ee,3286
Offset           ,ee,3240
Fifth Harmony    ,ee,3224
Robin Bengtsson  ,ee,3004
John Lennon      ,ee,2998
Ilinca           ,ee,2724
Francesco Gabbani,ee,2641
Diplo            ,ee,2542
The xx           ,ee,2441
Rudimental       ,ee,2356
A$AP Ferg        ,ee,2316
Foo Fighters     ,ee,2245
Daniel Levi      ,ee,2229
A R I Z O N A    ,ee,2137
Zara Larsson     ,ee,2096
Tiësto          ,ee,2019
Perry Como       ,ee,1906
Elvis Presley    ,ee,1699
Judy Garland     ,ee,1565
Dean Martin      ,ee,1560
Paul McCartney   ,ee,1466
Eartha Kitt      ,ee,1450
Carpenters       ,ee,1407
José Feliciano  ,ee,1400
Chris Rea        ,ee,1382
Chuck Berry      ,ee,1345
Ewert and the Two,ee,1241
Kerli            ,ee,1203
MØ              ,ee,1163
Charli XCX       ,ee,1145
Maian            ,ee,1140
Fall Out Boy     ,ee,1082
Travis Scott     ,ee,1075
Craig David      ,ee,1054
Linkin Park      ,ee,1042
Tove Lo          ,ee,1040
5MIINUST         ,ee,1035
Shakira          ,ee,1013
Nathan Trent     ,ee,1012
Luis Fonsi       ,es,26351608
Ed Sheeran       ,es,21999318
J Balvin         ,es,16555715
Shakira          ,es,14975590
Maluma           ,es,12124189
CNCO             ,es,12050694
Danny Ocean      ,es,10609922
Wisin            ,es,9460659
Enrique Iglesias ,es,9418025
Ozuna            ,es,8927502
Sebastian Yatra  ,es,8871938
The Chainsmokers ,es,8717546
Nicky Jam        ,es,8330619
Clean Bandit     ,es,8219978
Daddy Yankee     ,es,7916589
Piso 21          ,es,7579916
Cali Y El Dandee ,es,6482929
Anuel Aa         ,es,6173471
Zion & Lennox    ,es,6158500
Chris Jeday      ,es,5415509
Carlos Vives     ,es,5299524
Pitbull          ,es,5163300
Nacho            ,es,5050237
Charly Black     ,es,4790621
ZAYN             ,es,4757282
Don Omar         ,es,4667878
Carlos Baute     ,es,4558401
Bad Bunny        ,es,4358562
Kygo             ,es,4226029
Ricky Martin     ,es,4131371
Jason Derulo     ,es,3822673
C. Tangana       ,es,3778023
Camila Cabello   ,es,3760216
Pablo Alborán   ,es,3743845
The Weeknd       ,es,3664370
Antonio José    ,es,3624786
Becky G          ,es,3509451
Martin Garrix    ,es,3481422
Natti Natasha    ,es,3464557
Bruno Mars       ,es,3402209
Xantos           ,es,3190055
Manuel Turizo    ,es,3173060
Morat            ,es,3118708
Dasoul           ,es,3016997
IAmChino         ,es,2711211
DJ Khaled        ,es,2629770
Joey Montana     ,es,2629658
Prince Royce     ,es,2555239
Alejandro Fernand,es,2529352
Maroon 5         ,es,2454057
Juan Magán      ,es,2366489
Alex Sensation   ,es,2305452
Charlie Puth     ,es,2292204
Zedd             ,es,2274539
Cosculluela      ,es,2196054
Dua Lipa         ,es,2097962
Katy Perry       ,es,2062973
Chino & Nacho    ,es,1999797
Alejandro Sanz   ,es,1998685
Jax Jones        ,es,1981337
Demarco Flamenco ,es,1946318
Juanes           ,es,1879373
Post Malone      ,es,1853225
Shawn Mendes     ,es,1827312
Abraham Mateo    ,es,1790390
James Arthur     ,es,1773761
Jesse & Joy      ,es,1725256
DJ Snake         ,es,1720675
Melendi          ,es,1719192
Romeo Santos     ,es,1513280
Jacob Forever    ,es,1495949
Miley Cyrus      ,es,1477942
Yandel           ,es,1451996
Selena Gomez     ,es,1406750
David Guetta     ,es,1356651
Anitta           ,es,1154734
Drake            ,es,1149793
Calvin Harris    ,es,1064374
Major Lazer      ,es,977760
Ariana Grande    ,es,971976
Sam Smith        ,es,957440
Robin Schulz     ,es,664475
Twenty One Pilots,es,623387
MC Fioti         ,es,547249
Farruko          ,es,544673
Jonas Blue       ,es,537579
Karol G          ,es,521183
Taburete         ,es,493818
Portugal. The Man,es,489385
Axwell /\ Ingross,es,445653
David Bisbal     ,es,373218
Taylor Swift     ,es,340068
Leiva            ,es,338939
Marshmello       ,es,311755
Imagine Dragons  ,es,304994
Justin Bieber    ,es,294932
Mariah Carey     ,es,288532
Operación Triunf,es,157490
Wham!            ,es,137392
Jennifer Lopez   ,es,89799
Joaquín Sabina  ,es,84799
Amaia Romero     ,es,70130
DELLAFUENTE      ,es,54831
José Feliciano  ,es,51637
JVG              ,fi,21236327
Ed Sheeran       ,fi,16504927
Antti Tuisku     ,fi,16484916
Mikael Gabriel   ,fi,11551855
Robin            ,fi,11511954
Cheek            ,fi,11402191
SANNI            ,fi,10127386
Haloo Helsinki!  ,fi,9865879
Evelina          ,fi,9160738
Luis Fonsi       ,fi,7763678
Jenni Vartiainen ,fi,7631928
Reino Nordin     ,fi,7372131
Nikke Ankara     ,fi,7157717
Post Malone      ,fi,6770149
Alan Walker      ,fi,6708539
ZAYN             ,fi,6684047
Profeetat        ,fi,6290002
Kygo             ,fi,5750774
Clean Bandit     ,fi,5279865
The Chainsmokers ,fi,5192489
Mäkki           ,fi,4861591
Teflon Brothers  ,fi,4653228
Aleksanteri Hakan,fi,4424659
Petri Nygård    ,fi,4395296
Martin Garrix    ,fi,4328671
Camila Cabello   ,fi,4156179
Dua Lipa         ,fi,3978660
Axwell /\ Ingross,fi,3790361
Avicii           ,fi,3685710
Portion Boys     ,fi,3666681
Pyhimys          ,fi,3464472
Ida Paul & Kalle ,fi,3448254
Aste             ,fi,3442207
Imagine Dragons  ,fi,3420155
Katy Perry       ,fi,3270346
DJ Khaled        ,fi,3259639
Marshmello       ,fi,3210470
Jason Derulo     ,fi,3134599
Arttu Wiskari    ,fi,3126658
Selena Gomez     ,fi,3125196
Robin Schulz     ,fi,3038403
Spekti           ,fi,2963320
Pasi ja Anssi    ,fi,2922364
Jax Jones        ,fi,2904220
NF               ,fi,2793435
Charlie Puth     ,fi,2772653
Calvin Harris    ,fi,2755191
ItaloBrothers    ,fi,2703161
Maroon 5         ,fi,2571954
Rita Ora         ,fi,2570095
David Guetta     ,fi,2560825
Brädi           ,fi,2466566
G-Eazy           ,fi,2460270
Kasmir           ,fi,2397198
French Montana   ,fi,2313960
Arttu Lindeman   ,fi,2310440
Pikku G          ,fi,2309298
Roope Salminen & ,fi,2285694
Logic            ,fi,2282950
Laura Voutilainen,fi,2266617
Yksi Totuus      ,fi,2223334
Jonas Blue       ,fi,2121854
Ellinoora        ,fi,2057709
Arman Cekin      ,fi,2039518
J Balvin         ,fi,1971574
The Weeknd       ,fi,1957265
Eminem           ,fi,1939585
Justin Bieber    ,fi,1914086
ALMA             ,fi,1889930
Kaija Koo        ,fi,1883824
Herrat           ,fi,1857182
Janne Ordén     ,fi,1832457
Lil Pump         ,fi,1825042
Gabriel Lion     ,fi,1823258
Liam Payne       ,fi,1787376
Mikko Harju      ,fi,1778170
Alessia Cara     ,fi,1764038
Steve Aoki       ,fi,1760602
Taylor Swift     ,fi,1754756
OG Ulla-Maija    ,fi,1728169
Enrique Iglesias ,fi,1674906
Future           ,fi,1614235
Big Shaq         ,fi,1465261
Louis Tomlinson  ,fi,1365316
Alok             ,fi,1351989
BESS             ,fi,1337133
Keko Salata      ,fi,1337058
Juha Tapio       ,fi,1330802
Janna            ,fi,1328156
Zedd             ,fi,1325298
Kendrick Lamar   ,fi,1321989
Sabrina Carpenter,fi,1310767
Sam Smith        ,fi,1288293
Rag'n'Bone Man   ,fi,1280497
Slim Mill        ,fi,1267215
Vice             ,fi,1259839
Martin Jensen    ,fi,1223502
Pete Parkkonen   ,fi,1214826
Gasellit         ,fi,1207642
HesaÄijä       ,fi,1207634
Jon Bellion      ,fi,1188289
Major Lazer      ,fi,1165537
SAARA            ,fi,1098801
ABREU            ,fi,1062395
Machine Gun Kelly,fi,1057322
Mike Perry       ,fi,1033164
Suvi Teräsniska ,fi,1026385
Tuure Boelius    ,fi,1023732
OneRepublic      ,fi,1019650
Sia              ,fi,1010421
Burak Yeter      ,fi,967283
Starley          ,fi,961543
Sage The Gemini  ,fi,914117
Ollie            ,fi,913691
Zara Larsson     ,fi,902324
Lil Uzi Vert     ,fi,896146
The Vamps        ,fi,852632
P!nk             ,fi,838769
Vesala           ,fi,820787
Shawn Mendes     ,fi,811684
Migos            ,fi,777621
Mariah Carey     ,fi,754051
Maggie Lindemann ,fi,753625
Julia Michaels   ,fi,732898
Portugal. The Man,fi,720801
Ilta             ,fi,706743
Anniina          ,fi,687086
Jari Sillanpää ,fi,656854
Hank Solo        ,fi,639729
Tippa-T          ,fi,627958
Samu             ,fi,625950
Vilma Alina      ,fi,622866
Rae Sremmurd     ,fi,606823
Macklemore       ,fi,590198
Isac Elliot      ,fi,589999
Anna Puu         ,fi,585447
Wham!            ,fi,574685
Nelli Matula     ,fi,572155
Tuomas Kauhanen  ,fi,568596
ILARI            ,fi,564903
Miley Cyrus      ,fi,529032
Noah Cyrus       ,fi,525478
DJ Snake         ,fi,507316
YOUNGHEARTED     ,fi,483783
Adi L Hasla      ,fi,480099
SINI YASEMIN     ,fi,460054
John Legend      ,fi,452283
Vesta            ,fi,446705
Musta Barbaari   ,fi,434927
Drake            ,fi,414638
AJR              ,fi,407493
Raappana         ,fi,388615
Toni Wirtanen    ,fi,387111
Harry Styles     ,fi,379856
Linkin Park      ,fi,379840
Juulia           ,fi,328120
Cheat Codes      ,fi,325906
Bang For The Buck,fi,302925
Galantis         ,fi,295068
Chisu            ,fi,243148
Cledos           ,fi,242879
Sound Of Legend  ,fi,239894
Hotelli Vantaa   ,fi,226772
Elias Kaskinen & ,fi,206420
Uniikki          ,fi,197016
Niall Horan      ,fi,194000
Lucas            ,fi,193295
LEO              ,fi,179443
Olli Lindholm    ,fi,174638
STIG             ,fi,168192
Lana Del Rey     ,fi,139138
Irina            ,fi,135714
Gettomasa        ,fi,131435
Sunrise Avenue   ,fi,116055
Matoma           ,fi,97595
Tuuli            ,fi,97388
Ariana Grande    ,fi,90925
Michael Bublé   ,fi,90303
                 ,fi,90002
Vesa-Matti Loiri ,fi,73379
Elastinen        ,fi,63010
Katri Helena     ,fi,62064
Rajaton          ,fi,59463
The Rasmus       ,fi,58575
Frank Sinatra    ,fi,57013
Skandaali        ,fi,56509
Petra            ,fi,51052
DEM              ,fi,50994
Jean Sibelius    ,fi,48953
Kube             ,fi,44235
Juhani           ,fi,38160
Sjöroos & Vesala,fi,33831
Happoradio       ,fi,30883
Britney Spears   ,fi,26559
Fatboy L         ,fi,26445
Eppu Normaali    ,fi,25150
Why Don't We     ,fi,25087
Marko Hietala    ,fi,24141
Kari Tapio       ,fi,23649
Andy Williams    ,fi,23545
Jukka Kuoppamäki,fi,23250
Lasse Mårtenson ,fi,22343
