Position,Track Name,Artist,Date,Country
7,Shaky Shaky                                                                 ,Daddy Yankee     ,08/01/2017,uy
8,Pasarla Bien                                                                ,Marama           ,08/01/2017,uy
9,Carnavalintro                                                               ,CHANO            ,08/01/2017,uy
10,Piel a Piel                                                                 ,Dame 5           ,08/01/2017,uy
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,09/01/2017,uy
2,Cuando Se Pone a Bailar                                                     ,Rombai           ,09/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,09/01/2017,uy
4,Vente Pa' Ca                                                                ,Ricky Martin     ,09/01/2017,uy
5,Safari                                                                      ,J Balvin         ,09/01/2017,uy
6,Carnavalintro                                                               ,CHANO            ,09/01/2017,uy
7,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,09/01/2017,uy
8,Piel a Piel                                                                 ,Dame 5           ,09/01/2017,uy
9,Shaky Shaky                                                                 ,Daddy Yankee     ,09/01/2017,uy
10,Pasarla Bien                                                                ,Marama           ,09/01/2017,uy
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,10/01/2017,uy
2,Cuando Se Pone a Bailar                                                     ,Rombai           ,10/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,10/01/2017,uy
4,Vente Pa' Ca                                                                ,Ricky Martin     ,10/01/2017,uy
5,Safari                                                                      ,J Balvin         ,10/01/2017,uy
6,Carnavalintro                                                               ,CHANO            ,10/01/2017,uy
7,Piel a Piel                                                                 ,Dame 5           ,10/01/2017,uy
8,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,10/01/2017,uy
9,Pasarla Bien                                                                ,Marama           ,10/01/2017,uy
10,Shaky Shaky                                                                 ,Daddy Yankee     ,10/01/2017,uy
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,11/01/2017,uy
2,Cuando Se Pone a Bailar                                                     ,Rombai           ,11/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,11/01/2017,uy
4,Vente Pa' Ca                                                                ,Ricky Martin     ,11/01/2017,uy
5,Safari                                                                      ,J Balvin         ,11/01/2017,uy
6,Carnavalintro                                                               ,CHANO            ,11/01/2017,uy
7,Piel a Piel                                                                 ,Dame 5           ,11/01/2017,uy
8,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,11/01/2017,uy
9,Pasarla Bien                                                                ,Marama           ,11/01/2017,uy
10,Traicionera                                                                 ,Sebastian Yatra  ,11/01/2017,uy
