Position,TrackName,Artist,Date,Country,Indicators
4,Closer                                                                      ,The Chainsmokers ,07/01/2017,pl,0 0 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,07/01/2017,pl,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,07/01/2017,pl,0 0 0 0 0 0
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07/01/2017,pl,0 0 0 0 0 0
8,Tuesday                                                                     ,Burak Yeter      ,07/01/2017,pl,0 0 0 0 0 0
9,Don't Wanna Know                                                            ,Maroon 5         ,07/01/2017,pl,0 0 0 0 0 0
10,Treat You Better                                                            ,Shawn Mendes     ,07/01/2017,pl,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,pl,0 0 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,08/01/2017,pl,0 0 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08/01/2017,pl,0 0 1 0 0 0
4,Starboy                                                                     ,The Weeknd       ,08/01/2017,pl,0 0 1 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08/01/2017,pl,0 0 1 0 0 0
6,Closer                                                                      ,The Chainsmokers ,08/01/2017,pl,0 0 1 0 0 0
7,Tuesday                                                                     ,Burak Yeter      ,08/01/2017,pl,0 0 1 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,08/01/2017,pl,0 0 1 0 0 0
9,Don't Wanna Know                                                            ,Maroon 5         ,08/01/2017,pl,0 0 1 0 0 0
10,Alone                                                                       ,Alan Walker      ,08/01/2017,pl,0 0 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09/01/2017,pl,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,09/01/2017,pl,0 0 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,pl,0 0 0 0 0 0
4,Starboy                                                                     ,The Weeknd       ,09/01/2017,pl,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,pl,0 0 0 0 0 0
6,Tuesday                                                                     ,Burak Yeter      ,09/01/2017,pl,0 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,09/01/2017,pl,0 0 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,09/01/2017,pl,0 0 0 0 0 0
9,Don't Wanna Know                                                            ,Maroon 5         ,09/01/2017,pl,0 0 0 0 0 0
10,I Feel It Coming                                                            ,The Weeknd       ,09/01/2017,pl,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,pl,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,pl,0 0 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,pl,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,pl,0 0 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,10/01/2017,pl,0 0 0 0 0 0
6,Tuesday                                                                     ,Burak Yeter      ,10/01/2017,pl,0 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,10/01/2017,pl,0 0 0 0 0 0
8,I Feel It Coming                                                            ,The Weeknd       ,10/01/2017,pl,0 0 0 0 0 0
9,Don't Wanna Know                                                            ,Maroon 5         ,10/01/2017,pl,0 0 0 0 0 0
10,Just Hold On                                                                ,Steve Aoki       ,10/01/2017,pl,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,pl,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,pl,0 0 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,pl,0 0 0 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,pl,0 0 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,11/01/2017,pl,0 0 0 0 0 0
6,Tuesday                                                                     ,Burak Yeter      ,11/01/2017,pl,0 0 0 0 0 0
