Position,Track Name,Artist,Date,Country
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,nz
5,Starboy                                                                     ,The Weeknd       ,09/01/2017,nz
6,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,nz
7,Closer                                                                      ,The Chainsmokers ,09/01/2017,nz
8,24K Magic                                                                   ,Bruno Mars       ,09/01/2017,nz
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09/01/2017,nz
10,I Feel It Coming                                                            ,The Weeknd       ,09/01/2017,nz
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,nz
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,nz
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,nz
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,nz
5,Starboy                                                                     ,The Weeknd       ,10/01/2017,nz
6,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,nz
7,Closer                                                                      ,The Chainsmokers ,10/01/2017,nz
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10/01/2017,nz
9,24K Magic                                                                   ,Bruno Mars       ,10/01/2017,nz
10,I Feel It Coming                                                            ,The Weeknd       ,10/01/2017,nz
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,nz
2,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,nz
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,nz
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,nz
5,Starboy                                                                     ,The Weeknd       ,11/01/2017,nz
6,Say You Won't Let Go                                                        ,James Arthur     ,11/01/2017,nz
7,Closer                                                                      ,The Chainsmokers ,11/01/2017,nz
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,11/01/2017,nz
9,I Feel It Coming                                                            ,The Weeknd       ,11/01/2017,nz
10,24K Magic                                                                   ,Bruno Mars       ,11/01/2017,nz
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,nz
2,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,nz
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12/01/2017,nz
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12/01/2017,nz
5,Starboy                                                                     ,The Weeknd       ,12/01/2017,nz
6,Say You Won't Let Go                                                        ,James Arthur     ,12/01/2017,nz
7,Closer                                                                      ,The Chainsmokers ,12/01/2017,nz
8,I Feel It Coming                                                            ,The Weeknd       ,12/01/2017,nz
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,12/01/2017,nz
10,24K Magic                                                                   ,Bruno Mars       ,12/01/2017,nz
1,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,nz
2,Castle on the Hill                                                          ,Ed Sheeran       ,13/01/2017,nz
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13/01/2017,nz
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13/01/2017,nz
5,Starboy                                                                     ,The Weeknd       ,13/01/2017,nz
6,I Feel It Coming                                                            ,The Weeknd       ,13/01/2017,nz
7,Closer                                                                      ,The Chainsmokers ,13/01/2017,nz
8,Say You Won't Let Go                                                        ,James Arthur     ,13/01/2017,nz
9,24K Magic                                                                   ,Bruno Mars       ,13/01/2017,nz
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,13/01/2017,nz
1,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,nz
2,Castle on the Hill                                                          ,Ed Sheeran       ,14/01/2017,nz
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14/01/2017,nz
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14/01/2017,nz
5,Starboy                                                                     ,The Weeknd       ,14/01/2017,nz
6,I Feel It Coming                                                            ,The Weeknd       ,14/01/2017,nz
7,Closer                                                                      ,The Chainsmokers ,14/01/2017,nz
8,Say You Won't Let Go                                                        ,James Arthur     ,14/01/2017,nz
9,24K Magic                                                                   ,Bruno Mars       ,14/01/2017,nz
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,14/01/2017,nz
1,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,nz
2,Castle on the Hill                                                          ,Ed Sheeran       ,15/01/2017,nz
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15/01/2017,nz
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15/01/2017,nz
5,Starboy                                                                     ,The Weeknd       ,15/01/2017,nz
6,Say You Won't Let Go                                                        ,James Arthur     ,15/01/2017,nz
7,I Feel It Coming                                                            ,The Weeknd       ,15/01/2017,nz
8,Closer                                                                      ,The Chainsmokers ,15/01/2017,nz
9,How Far I'll Go - From "Moana"                                              ,Alessia Cara     ,15/01/2017,nz
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,15/01/2017,nz
1,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,nz
2,Castle on the Hill                                                          ,Ed Sheeran       ,16/01/2017,nz
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16/01/2017,nz
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16/01/2017,nz
