Position,Track Name,Artist,Date,Country
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,ch
4,Starboy                                                                     ,The Weeknd       ,09/01/2017,ch
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,ch
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09/01/2017,ch
7,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,09/01/2017,ch
9,I Feel It Coming                                                            ,The Weeknd       ,09/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,09/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,ch
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,ch
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,ch
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,ch
5,Starboy                                                                     ,The Weeknd       ,10/01/2017,ch
6,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10/01/2017,ch
8,I Feel It Coming                                                            ,The Weeknd       ,10/01/2017,ch
9,Alone                                                                       ,Alan Walker      ,10/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,10/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,ch
2,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,ch
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,ch
4,Starboy                                                                     ,The Weeknd       ,11/01/2017,ch
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,ch
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,11/01/2017,ch
7,Say You Won't Let Go                                                        ,James Arthur     ,11/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,11/01/2017,ch
9,I Feel It Coming                                                            ,The Weeknd       ,11/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,11/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,ch
2,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,ch
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12/01/2017,ch
4,Starboy                                                                     ,The Weeknd       ,12/01/2017,ch
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12/01/2017,ch
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,12/01/2017,ch
7,I Feel It Coming                                                            ,The Weeknd       ,12/01/2017,ch
8,Say You Won't Let Go                                                        ,James Arthur     ,12/01/2017,ch
9,Alone                                                                       ,Alan Walker      ,12/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,12/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,ch
2,Castle on the Hill                                                          ,Ed Sheeran       ,13/01/2017,ch
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13/01/2017,ch
4,Starboy                                                                     ,The Weeknd       ,13/01/2017,ch
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13/01/2017,ch
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,13/01/2017,ch
7,I Feel It Coming                                                            ,The Weeknd       ,13/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,13/01/2017,ch
9,Say You Won't Let Go                                                        ,James Arthur     ,13/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,13/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,ch
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14/01/2017,ch
3,Castle on the Hill                                                          ,Ed Sheeran       ,14/01/2017,ch
4,Starboy                                                                     ,The Weeknd       ,14/01/2017,ch
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14/01/2017,ch
6,Say You Won't Let Go                                                        ,James Arthur     ,14/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,14/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,14/01/2017,ch
9,I Feel It Coming                                                            ,The Weeknd       ,14/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,14/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,ch
2,Castle on the Hill                                                          ,Ed Sheeran       ,15/01/2017,ch
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15/01/2017,ch
4,Starboy                                                                     ,The Weeknd       ,15/01/2017,ch
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15/01/2017,ch
6,Paris                                                                       ,The Chainsmokers ,15/01/2017,ch
7,Say You Won't Let Go                                                        ,James Arthur     ,15/01/2017,ch
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,15/01/2017,ch
9,Alone                                                                       ,Alan Walker      ,15/01/2017,ch
10,I Feel It Coming                                                            ,The Weeknd       ,15/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,ch
2,Castle on the Hill                                                          ,Ed Sheeran       ,16/01/2017,ch
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16/01/2017,ch
4,Starboy                                                                     ,The Weeknd       ,16/01/2017,ch
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16/01/2017,ch
6,Paris                                                                       ,The Chainsmokers ,16/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,16/01/2017,ch
8,Say You Won't Let Go                                                        ,James Arthur     ,16/01/2017,ch
9,Alone                                                                       ,Alan Walker      ,16/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,16/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,17/01/2017,ch
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,17/01/2017,ch
3,Castle on the Hill                                                          ,Ed Sheeran       ,17/01/2017,ch
4,Paris                                                                       ,The Chainsmokers ,17/01/2017,ch
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17/01/2017,ch
6,Starboy                                                                     ,The Weeknd       ,17/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,17/01/2017,ch
8,Say You Won't Let Go                                                        ,James Arthur     ,17/01/2017,ch
9,Alone                                                                       ,Alan Walker      ,17/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,17/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,18/01/2017,ch
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,18/01/2017,ch
3,Castle on the Hill                                                          ,Ed Sheeran       ,18/01/2017,ch
4,Paris                                                                       ,The Chainsmokers ,18/01/2017,ch
5,Starboy                                                                     ,The Weeknd       ,18/01/2017,ch
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,18/01/2017,ch
8,Alone                                                                       ,Alan Walker      ,18/01/2017,ch
9,Say You Won't Let Go                                                        ,James Arthur     ,18/01/2017,ch
10,Chantaje                                                                    ,Shakira          ,18/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,19/01/2017,ch
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,19/01/2017,ch
3,Paris                                                                       ,The Chainsmokers ,19/01/2017,ch
4,Castle on the Hill                                                          ,Ed Sheeran       ,19/01/2017,ch
5,Starboy                                                                     ,The Weeknd       ,19/01/2017,ch
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,19/01/2017,ch
8,I Feel It Coming                                                            ,The Weeknd       ,19/01/2017,ch
9,Chantaje                                                                    ,Shakira          ,19/01/2017,ch
10,Say You Won't Let Go                                                        ,James Arthur     ,19/01/2017,ch
1,Shape of You                                                                ,Ed Sheeran       ,20/01/2017,ch
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20/01/2017,ch
3,Paris                                                                       ,The Chainsmokers ,20/01/2017,ch
4,Castle on the Hill                                                          ,Ed Sheeran       ,20/01/2017,ch
5,Starboy                                                                     ,The Weeknd       ,20/01/2017,ch
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20/01/2017,ch
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,20/01/2017,ch
