Position,Track Name,Artist,Date,Country
9,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,09/01/2017,gb
10,Starboy                                                                     ,The Weeknd       ,09/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,gb
4,Touch                                                                       ,Little Mix       ,10/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,10/01/2017,gb
6,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,gb
7,Just Hold On                                                                ,Steve Aoki       ,10/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,10/01/2017,gb
9,Starboy                                                                     ,The Weeknd       ,10/01/2017,gb
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,gb
4,Touch                                                                       ,Little Mix       ,11/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,11/01/2017,gb
6,Say You Won't Let Go                                                        ,James Arthur     ,11/01/2017,gb
7,Just Hold On                                                                ,Steve Aoki       ,11/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,11/01/2017,gb
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,11/01/2017,gb
10,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,11/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12/01/2017,gb
4,Touch                                                                       ,Little Mix       ,12/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,12/01/2017,gb
6,Say You Won't Let Go                                                        ,James Arthur     ,12/01/2017,gb
7,Just Hold On                                                                ,Steve Aoki       ,12/01/2017,gb
8,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,12/01/2017,gb
9,Human                                                                       ,Rag'n'Bone Man   ,12/01/2017,gb
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,12/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,13/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13/01/2017,gb
4,Touch                                                                       ,Little Mix       ,13/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,13/01/2017,gb
6,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,13/01/2017,gb
7,Say You Won't Let Go                                                        ,James Arthur     ,13/01/2017,gb
8,Just Hold On                                                                ,Steve Aoki       ,13/01/2017,gb
9,Starboy                                                                     ,The Weeknd       ,13/01/2017,gb
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,13/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,14/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14/01/2017,gb
4,Touch                                                                       ,Little Mix       ,14/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,14/01/2017,gb
6,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,14/01/2017,gb
7,Just Hold On                                                                ,Steve Aoki       ,14/01/2017,gb
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,14/01/2017,gb
9,Human                                                                       ,Rag'n'Bone Man   ,14/01/2017,gb
10,Say You Won't Let Go                                                        ,James Arthur     ,14/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,15/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15/01/2017,gb
4,Touch                                                                       ,Little Mix       ,15/01/2017,gb
5,I Would Like                                                                ,Zara Larsson     ,15/01/2017,gb
6,Say You Won't Let Go                                                        ,James Arthur     ,15/01/2017,gb
7,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,15/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,15/01/2017,gb
9,Just Hold On                                                                ,Steve Aoki       ,15/01/2017,gb
10,Starboy                                                                     ,The Weeknd       ,15/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,16/01/2017,gb
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16/01/2017,gb
4,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,16/01/2017,gb
5,Touch                                                                       ,Little Mix       ,16/01/2017,gb
6,I Would Like                                                                ,Zara Larsson     ,16/01/2017,gb
7,Paris                                                                       ,The Chainsmokers ,16/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,16/01/2017,gb
9,Say You Won't Let Go                                                        ,James Arthur     ,16/01/2017,gb
10,Just Hold On                                                                ,Steve Aoki       ,16/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,17/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,17/01/2017,gb
3,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,17/01/2017,gb
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,17/01/2017,gb
5,Touch                                                                       ,Little Mix       ,17/01/2017,gb
6,Paris                                                                       ,The Chainsmokers ,17/01/2017,gb
7,I Would Like                                                                ,Zara Larsson     ,17/01/2017,gb
8,Human                                                                       ,Rag'n'Bone Man   ,17/01/2017,gb
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,17/01/2017,gb
10,Say You Won't Let Go                                                        ,James Arthur     ,17/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,18/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,18/01/2017,gb
3,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,18/01/2017,gb
4,Paris                                                                       ,The Chainsmokers ,18/01/2017,gb
5,Touch                                                                       ,Little Mix       ,18/01/2017,gb
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,18/01/2017,gb
7,I Would Like                                                                ,Zara Larsson     ,18/01/2017,gb
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,18/01/2017,gb
9,Human                                                                       ,Rag'n'Bone Man   ,18/01/2017,gb
10,Say You Won't Let Go                                                        ,James Arthur     ,18/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,19/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,19/01/2017,gb
3,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,19/01/2017,gb
4,Paris                                                                       ,The Chainsmokers ,19/01/2017,gb
5,Touch                                                                       ,Little Mix       ,19/01/2017,gb
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,19/01/2017,gb
7,I Would Like                                                                ,Zara Larsson     ,19/01/2017,gb
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,19/01/2017,gb
9,Human                                                                       ,Rag'n'Bone Man   ,19/01/2017,gb
10,Just Hold On                                                                ,Steve Aoki       ,19/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,20/01/2017,gb
2,Castle on the Hill                                                          ,Ed Sheeran       ,20/01/2017,gb
3,You Don't Know Me - Radio Edit                                              ,Jax Jones        ,20/01/2017,gb
4,Paris                                                                       ,The Chainsmokers ,20/01/2017,gb
5,Touch                                                                       ,Little Mix       ,20/01/2017,gb
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20/01/2017,gb
7,I Would Like                                                                ,Zara Larsson     ,20/01/2017,gb
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,20/01/2017,gb
9,Just Hold On                                                                ,Steve Aoki       ,20/01/2017,gb
10,Human                                                                       ,Rag'n'Bone Man   ,20/01/2017,gb
1,Shape of You                                                                ,Ed Sheeran       ,21/01/2017,gb
