Position,Track Name,Artist,Date,Country
1,Closer                                                                      ,The Chainsmokers ,01/01/2017,id
2,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,id
3,All We Know                                                                 ,The Chainsmokers ,01/01/2017,id
4,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,id
5,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,id
6,Starving                                                                    ,Hailee Steinfeld ,01/01/2017,id
7,Starboy                                                                     ,The Weeknd       ,01/01/2017,id
8,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,01/01/2017,id
9,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,id
10,Alone                                                                       ,Marshmello       ,01/01/2017,id
1,Closer                                                                      ,The Chainsmokers ,02/01/2017,id
2,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,id
3,All We Know                                                                 ,The Chainsmokers ,02/01/2017,id
4,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,id
5,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,id
6,Starving                                                                    ,Hailee Steinfeld ,02/01/2017,id
7,Starboy                                                                     ,The Weeknd       ,02/01/2017,id
8,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,02/01/2017,id
9,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,id
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,id
1,Closer                                                                      ,The Chainsmokers ,03/01/2017,id
2,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,id
3,All We Know                                                                 ,The Chainsmokers ,03/01/2017,id
4,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,id
5,Don't Wanna Know                                                            ,Maroon 5         ,03/01/2017,id
6,Starving                                                                    ,Hailee Steinfeld ,03/01/2017,id
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,03/01/2017,id
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,id
9,Starboy                                                                     ,The Weeknd       ,03/01/2017,id
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,id
1,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,id
2,Closer                                                                      ,The Chainsmokers ,04/01/2017,id
3,All We Know                                                                 ,The Chainsmokers ,04/01/2017,id
4,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,id
5,Don't Wanna Know                                                            ,Maroon 5         ,04/01/2017,id
