Position,Track Name,Artist,Date,Country
5,Alone                                                                       ,Alan Walker      ,09/01/2017,de
6,Shed a Light                                                                ,Robin Schulz     ,09/01/2017,de
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09/01/2017,de
8,Starboy                                                                     ,The Weeknd       ,09/01/2017,de
9,Now and Later                                                               ,Sage The Gemini  ,09/01/2017,de
10,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,de
5,Alone                                                                       ,Alan Walker      ,10/01/2017,de
6,Shed a Light                                                                ,Robin Schulz     ,10/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,10/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10/01/2017,de
9,Starboy                                                                     ,The Weeknd       ,10/01/2017,de
10,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,de
5,Alone                                                                       ,Alan Walker      ,11/01/2017,de
6,Shed a Light                                                                ,Robin Schulz     ,11/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,11/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,11/01/2017,de
9,Starboy                                                                     ,The Weeknd       ,11/01/2017,de
10,Solo Dance                                                                  ,Martin Jensen    ,11/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12/01/2017,de
5,Alone                                                                       ,Alan Walker      ,12/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,12/01/2017,de
7,Shed a Light                                                                ,Robin Schulz     ,12/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,12/01/2017,de
9,Starboy                                                                     ,The Weeknd       ,12/01/2017,de
10,Solo Dance                                                                  ,Martin Jensen    ,12/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,13/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13/01/2017,de
5,Alone                                                                       ,Alan Walker      ,13/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,13/01/2017,de
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,13/01/2017,de
8,Starboy                                                                     ,The Weeknd       ,13/01/2017,de
9,Ohne mein Team                                                              ,Bonez MC         ,13/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,13/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,14/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14/01/2017,de
5,Alone                                                                       ,Alan Walker      ,14/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,14/01/2017,de
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,14/01/2017,de
8,Solo Dance                                                                  ,Martin Jensen    ,14/01/2017,de
9,Starboy                                                                     ,The Weeknd       ,14/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,14/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,15/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15/01/2017,de
5,Alone                                                                       ,Alan Walker      ,15/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,15/01/2017,de
7,Solo Dance                                                                  ,Martin Jensen    ,15/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,15/01/2017,de
9,Starboy                                                                     ,The Weeknd       ,15/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,15/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,16/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16/01/2017,de
5,Alone                                                                       ,Alan Walker      ,16/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,16/01/2017,de
7,Solo Dance                                                                  ,Martin Jensen    ,16/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,16/01/2017,de
9,Starboy                                                                     ,The Weeknd       ,16/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,16/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,17/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,17/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,17/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17/01/2017,de
5,Alone                                                                       ,Alan Walker      ,17/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,17/01/2017,de
7,Solo Dance                                                                  ,Martin Jensen    ,17/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,17/01/2017,de
9,Paris                                                                       ,The Chainsmokers ,17/01/2017,de
10,Starboy                                                                     ,The Weeknd       ,17/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,18/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,18/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,18/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18/01/2017,de
5,Solo Dance                                                                  ,Martin Jensen    ,18/01/2017,de
6,Alone                                                                       ,Alan Walker      ,18/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,18/01/2017,de
8,Paris                                                                       ,The Chainsmokers ,18/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,18/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,18/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,19/01/2017,de
2,Castle on the Hill                                                          ,Ed Sheeran       ,19/01/2017,de
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,19/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19/01/2017,de
5,Paris                                                                       ,The Chainsmokers ,19/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,19/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,19/01/2017,de
8,Alone                                                                       ,Alan Walker      ,19/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,19/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,19/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,20/01/2017,de
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20/01/2017,de
3,Castle on the Hill                                                          ,Ed Sheeran       ,20/01/2017,de
4,Paris                                                                       ,The Chainsmokers ,20/01/2017,de
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,20/01/2017,de
7,Solo Dance                                                                  ,Martin Jensen    ,20/01/2017,de
8,Alone                                                                       ,Alan Walker      ,20/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,20/01/2017,de
10,Ohne mein Team                                                              ,Bonez MC         ,20/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,21/01/2017,de
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,21/01/2017,de
3,Castle on the Hill                                                          ,Ed Sheeran       ,21/01/2017,de
4,Paris                                                                       ,The Chainsmokers ,21/01/2017,de
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,21/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,21/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,21/01/2017,de
8,Alone                                                                       ,Alan Walker      ,21/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,21/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,21/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,22/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,22/01/2017,de
3,Castle on the Hill                                                          ,Ed Sheeran       ,22/01/2017,de
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,22/01/2017,de
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,22/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,22/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,22/01/2017,de
8,Alone                                                                       ,Alan Walker      ,22/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,22/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,22/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,23/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,23/01/2017,de
3,Castle on the Hill                                                          ,Ed Sheeran       ,23/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,23/01/2017,de
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,23/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,23/01/2017,de
8,Alone                                                                       ,Alan Walker      ,23/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,23/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,23/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,24/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,24/01/2017,de
3,Castle on the Hill                                                          ,Ed Sheeran       ,24/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,24/01/2017,de
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,24/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,24/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,24/01/2017,de
8,Alone                                                                       ,Alan Walker      ,24/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,24/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,24/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,25/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,25/01/2017,de
3,Castle on the Hill                                                          ,Ed Sheeran       ,25/01/2017,de
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,25/01/2017,de
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,25/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,25/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,25/01/2017,de
8,Alone                                                                       ,Alan Walker      ,25/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,25/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,25/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,26/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,26/01/2017,de
3,Castle on the Hill                                                          ,Ed Sheeran       ,26/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,26/01/2017,de
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,26/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,26/01/2017,de
7,Solo Dance                                                                  ,Martin Jensen    ,26/01/2017,de
8,Alone                                                                       ,Alan Walker      ,26/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,26/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,26/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,27/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,27/01/2017,de
3,Castle on the Hill                                                          ,Ed Sheeran       ,27/01/2017,de
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,27/01/2017,de
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,27/01/2017,de
6,Now and Later                                                               ,Sage The Gemini  ,27/01/2017,de
7,Solo Dance                                                                  ,Martin Jensen    ,27/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,27/01/2017,de
9,Alone                                                                       ,Alan Walker      ,27/01/2017,de
