Position,TrackName,Artist,Date,Country,Indicators
9,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,hn,1 0 0 0 0 0
10,Cuatro Babys                                                                ,Maluma           ,06/01/2017,hn,1 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,07/01/2017,hn,1 0 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,07/01/2017,hn,1 0 0 0 0 0
3,Chantaje                                                                    ,Shakira          ,07/01/2017,hn,1 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,07/01/2017,hn,1 0 0 0 0 0
5,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,hn,1 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,07/01/2017,hn,1 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,07/01/2017,hn,1 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,07/01/2017,hn,1 0 0 0 0 0
9,Vente Pa' Ca                                                                ,Ricky Martin     ,07/01/2017,hn,1 0 0 0 0 0
10,Dile Que Tu Me Quieres                                                      ,Ozuna            ,07/01/2017,hn,1 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,08/01/2017,hn,0 1 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,08/01/2017,hn,0 1 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,08/01/2017,hn,0 1 0 0 0 0
4,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,hn,0 1 0 0 0 0
5,Safari                                                                      ,J Balvin         ,08/01/2017,hn,0 1 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,08/01/2017,hn,0 1 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,08/01/2017,hn,0 1 0 0 0 0
8,Dile Que Tu Me Quieres                                                      ,Ozuna            ,08/01/2017,hn,0 1 0 0 0 0
9,Cuatro Babys                                                                ,Maluma           ,08/01/2017,hn,0 1 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,08/01/2017,hn,0 1 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,09/01/2017,hn,0 0 0 0 0 0
2,Shape of You                                                                ,Ed Sheeran       ,09/01/2017,hn,0 0 0 0 0 0
3,Chantaje                                                                    ,Shakira          ,09/01/2017,hn,0 0 0 0 0 0
4,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,09/01/2017,hn,0 0 0 0 0 0
5,Closer                                                                      ,The Chainsmokers ,09/01/2017,hn,0 0 0 0 0 0
6,Safari                                                                      ,J Balvin         ,09/01/2017,hn,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,09/01/2017,hn,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,09/01/2017,hn,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,09/01/2017,hn,0 0 0 0 0 0
10,Cuatro Babys                                                                ,Maluma           ,09/01/2017,hn,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,10/01/2017,hn,0 0 0 0 0 0
2,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,hn,0 0 0 0 0 0
3,Chantaje                                                                    ,Shakira          ,10/01/2017,hn,0 0 0 0 0 0
4,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,10/01/2017,hn,0 0 0 0 0 0
5,Safari                                                                      ,J Balvin         ,10/01/2017,hn,0 0 0 0 0 0
6,Closer                                                                      ,The Chainsmokers ,10/01/2017,hn,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,10/01/2017,hn,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,10/01/2017,hn,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,10/01/2017,hn,0 0 0 0 0 0
10,Cuatro Babys                                                                ,Maluma           ,10/01/2017,hn,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,11/01/2017,hn,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,11/01/2017,hn,0 0 0 0 0 0
3,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,hn,0 0 0 0 0 0
4,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,11/01/2017,hn,0 0 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,11/01/2017,hn,0 0 0 0 0 0
6,Closer                                                                      ,The Chainsmokers ,11/01/2017,hn,0 0 0 0 0 0
