Position,Track Name,Artist,Date,Country
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,tw
6,Don't Wanna Know                                                            ,Maroon 5         ,09/01/2017,tw
7,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,tw
8,Starboy                                                                     ,The Weeknd       ,09/01/2017,tw
9,Just Hold On                                                                ,Steve Aoki       ,09/01/2017,tw
10,All We Know                                                                 ,The Chainsmokers ,09/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,tw
2,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,10/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,tw
5,Starboy                                                                     ,The Weeknd       ,10/01/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,tw
7,演員                                                                      ,Joker Xue        ,10/01/2017,tw
8,Don't Wanna Know                                                            ,Maroon 5         ,10/01/2017,tw
9,帥到分手                                                                ,NICKTHEREAL      ,10/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,10/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,tw
2,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,11/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,11/01/2017,tw
6,Starboy                                                                     ,The Weeknd       ,11/01/2017,tw
7,Don't Wanna Know                                                            ,Maroon 5         ,11/01/2017,tw
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,tw
9,演員                                                                      ,Joker Xue        ,11/01/2017,tw
10,All We Know                                                                 ,The Chainsmokers ,11/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,tw
2,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,12/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,12/01/2017,tw
6,Starboy                                                                     ,The Weeknd       ,12/01/2017,tw
7,Don't Wanna Know                                                            ,Maroon 5         ,12/01/2017,tw
8,演員                                                                      ,Joker Xue        ,12/01/2017,tw
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12/01/2017,tw
10,All We Know                                                                 ,The Chainsmokers ,12/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,13/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,13/01/2017,tw
4,Castle on the Hill                                                          ,Ed Sheeran       ,13/01/2017,tw
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13/01/2017,tw
6,Starboy                                                                     ,The Weeknd       ,13/01/2017,tw
7,Say You Won't Let Go                                                        ,James Arthur     ,13/01/2017,tw
8,Don't Wanna Know                                                            ,Maroon 5         ,13/01/2017,tw
9,演員                                                                      ,Joker Xue        ,13/01/2017,tw
10,All We Know                                                                 ,The Chainsmokers ,13/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,14/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,14/01/2017,tw
4,Castle on the Hill                                                          ,Ed Sheeran       ,14/01/2017,tw
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14/01/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,14/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,14/01/2017,tw
8,Don't Wanna Know                                                            ,Maroon 5         ,14/01/2017,tw
9,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,14/01/2017,tw
10,All We Know                                                                 ,The Chainsmokers ,14/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,15/01/2017,tw
3,Castle on the Hill                                                          ,Ed Sheeran       ,15/01/2017,tw
4,Closer                                                                      ,The Chainsmokers ,15/01/2017,tw
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15/01/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,15/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,15/01/2017,tw
8,Don't Wanna Know                                                            ,Maroon 5         ,15/01/2017,tw
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,15/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,16/01/2017,tw
3,Castle on the Hill                                                          ,Ed Sheeran       ,16/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,16/01/2017,tw
6,Closer                                                                      ,The Chainsmokers ,16/01/2017,tw
7,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16/01/2017,tw
8,Starboy                                                                     ,The Weeknd       ,16/01/2017,tw
9,Don't Wanna Know                                                            ,Maroon 5         ,16/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,16/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,17/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,17/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,17/01/2017,tw
4,Say You Won't Let Go                                                        ,James Arthur     ,17/01/2017,tw
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17/01/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,17/01/2017,tw
7,演員                                                                      ,Joker Xue        ,17/01/2017,tw
8,Starboy                                                                     ,The Weeknd       ,17/01/2017,tw
9,Don't Wanna Know                                                            ,Maroon 5         ,17/01/2017,tw
10,帥到分手                                                                ,NICKTHEREAL      ,17/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,18/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,18/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,18/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,18/01/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,18/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,18/01/2017,tw
8,演員                                                                      ,Joker Xue        ,18/01/2017,tw
9,Don't Wanna Know                                                            ,Maroon 5         ,18/01/2017,tw
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,18/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,19/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,19/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,19/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,19/01/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,19/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,19/01/2017,tw
8,演員                                                                      ,Joker Xue        ,19/01/2017,tw
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,19/01/2017,tw
10,Don't Wanna Know                                                            ,Maroon 5         ,19/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,20/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,20/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,20/01/2017,tw
4,Castle on the Hill                                                          ,Ed Sheeran       ,20/01/2017,tw
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20/01/2017,tw
