Position,Track Name,Artist,Date,Country
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,09/01/2017,my
8,Don't Wanna Know                                                            ,Maroon 5         ,09/01/2017,my
9,Let Me Love You                                                             ,DJ Snake         ,09/01/2017,my
10,All We Know                                                                 ,The Chainsmokers ,09/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,my
2,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,my
3,Closer                                                                      ,The Chainsmokers ,10/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,my
5,Starboy                                                                     ,The Weeknd       ,10/01/2017,my
6,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,10/01/2017,my
8,Don't Wanna Know                                                            ,Maroon 5         ,10/01/2017,my
9,All We Know                                                                 ,The Chainsmokers ,10/01/2017,my
10,Let Me Love You                                                             ,DJ Snake         ,10/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,my
2,Say You Won't Let Go                                                        ,James Arthur     ,11/01/2017,my
3,Closer                                                                      ,The Chainsmokers ,11/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,my
5,Starboy                                                                     ,The Weeknd       ,11/01/2017,my
6,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,11/01/2017,my
7,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,my
8,Don't Wanna Know                                                            ,Maroon 5         ,11/01/2017,my
9,All We Know                                                                 ,The Chainsmokers ,11/01/2017,my
10,Let Me Love You                                                             ,DJ Snake         ,11/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,my
2,Say You Won't Let Go                                                        ,James Arthur     ,12/01/2017,my
3,Closer                                                                      ,The Chainsmokers ,12/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12/01/2017,my
5,Starboy                                                                     ,The Weeknd       ,12/01/2017,my
6,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,12/01/2017,my
7,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,12/01/2017,my
9,Don't Wanna Know                                                            ,Maroon 5         ,12/01/2017,my
10,Let Me Love You                                                             ,DJ Snake         ,12/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,my
2,Say You Won't Let Go                                                        ,James Arthur     ,13/01/2017,my
3,Closer                                                                      ,The Chainsmokers ,13/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13/01/2017,my
5,Starboy                                                                     ,The Weeknd       ,13/01/2017,my
6,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,13/01/2017,my
7,All We Know                                                                 ,The Chainsmokers ,13/01/2017,my
8,Don't Wanna Know                                                            ,Maroon 5         ,13/01/2017,my
9,Let Me Love You                                                             ,DJ Snake         ,13/01/2017,my
10,Paris                                                                       ,The Chainsmokers ,13/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,my
2,Say You Won't Let Go                                                        ,James Arthur     ,14/01/2017,my
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14/01/2017,my
4,Closer                                                                      ,The Chainsmokers ,14/01/2017,my
5,Paris                                                                       ,The Chainsmokers ,14/01/2017,my
6,Starboy                                                                     ,The Weeknd       ,14/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,14/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,14/01/2017,my
9,Castle on the Hill                                                          ,Ed Sheeran       ,14/01/2017,my
10,Don't Wanna Know                                                            ,Maroon 5         ,14/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,my
2,Paris                                                                       ,The Chainsmokers ,15/01/2017,my
3,Say You Won't Let Go                                                        ,James Arthur     ,15/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15/01/2017,my
5,Closer                                                                      ,The Chainsmokers ,15/01/2017,my
6,Starboy                                                                     ,The Weeknd       ,15/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,15/01/2017,my
8,Castle on the Hill                                                          ,Ed Sheeran       ,15/01/2017,my
9,All We Know                                                                 ,The Chainsmokers ,15/01/2017,my
10,Don't Wanna Know                                                            ,Maroon 5         ,15/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,my
2,Paris                                                                       ,The Chainsmokers ,16/01/2017,my
3,Say You Won't Let Go                                                        ,James Arthur     ,16/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16/01/2017,my
5,Closer                                                                      ,The Chainsmokers ,16/01/2017,my
6,Starboy                                                                     ,The Weeknd       ,16/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,16/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,16/01/2017,my
9,Don't Wanna Know                                                            ,Maroon 5         ,16/01/2017,my
10,Castle on the Hill                                                          ,Ed Sheeran       ,16/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,17/01/2017,my
2,Paris                                                                       ,The Chainsmokers ,17/01/2017,my
3,Say You Won't Let Go                                                        ,James Arthur     ,17/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17/01/2017,my
5,Closer                                                                      ,The Chainsmokers ,17/01/2017,my
6,Starboy                                                                     ,The Weeknd       ,17/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,17/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,17/01/2017,my
9,Don't Wanna Know                                                            ,Maroon 5         ,17/01/2017,my
10,Castle on the Hill                                                          ,Ed Sheeran       ,17/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,18/01/2017,my
2,Paris                                                                       ,The Chainsmokers ,18/01/2017,my
3,Say You Won't Let Go                                                        ,James Arthur     ,18/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18/01/2017,my
5,Closer                                                                      ,The Chainsmokers ,18/01/2017,my
6,Starboy                                                                     ,The Weeknd       ,18/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,18/01/2017,my
8,All We Know                                                                 ,The Chainsmokers ,18/01/2017,my
9,Don't Wanna Know                                                            ,Maroon 5         ,18/01/2017,my
10,Castle on the Hill                                                          ,Ed Sheeran       ,18/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,19/01/2017,my
2,Paris                                                                       ,The Chainsmokers ,19/01/2017,my
3,Say You Won't Let Go                                                        ,James Arthur     ,19/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19/01/2017,my
5,Closer                                                                      ,The Chainsmokers ,19/01/2017,my
6,Starboy                                                                     ,The Weeknd       ,19/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,19/01/2017,my
8,Don't Wanna Know                                                            ,Maroon 5         ,19/01/2017,my
9,All We Know                                                                 ,The Chainsmokers ,19/01/2017,my
10,Castle on the Hill                                                          ,Ed Sheeran       ,19/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,20/01/2017,my
2,Paris                                                                       ,The Chainsmokers ,20/01/2017,my
3,Say You Won't Let Go                                                        ,James Arthur     ,20/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20/01/2017,my
5,Closer                                                                      ,The Chainsmokers ,20/01/2017,my
6,Starboy                                                                     ,The Weeknd       ,20/01/2017,my
7,Don't Wanna Know                                                            ,Maroon 5         ,20/01/2017,my
8,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,20/01/2017,my
9,All We Know                                                                 ,The Chainsmokers ,20/01/2017,my
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20/01/2017,my
1,Shape of You                                                                ,Ed Sheeran       ,21/01/2017,my
2,Paris                                                                       ,The Chainsmokers ,21/01/2017,my
3,Say You Won't Let Go                                                        ,James Arthur     ,21/01/2017,my
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,21/01/2017,my
5,Closer                                                                      ,The Chainsmokers ,21/01/2017,my
6,Starboy                                                                     ,The Weeknd       ,21/01/2017,my
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,21/01/2017,my
8,Don't Wanna Know                                                            ,Maroon 5         ,21/01/2017,my
9,All We Know                                                                 ,The Chainsmokers ,21/01/2017,my
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,21/01/2017,my
