Position,TrackName,Artist,Date,Country,Indicators
6,Don't Wanna Know                                                            ,Maroon 5         ,07-01-17,jp,0 0 0 0 0 0
7,Castle on the Hill                                                          ,Ed Sheeran       ,07-01-17,jp,0 0 0 0 0 0
8,24K Magic                                                                   ,Bruno Mars       ,07-01-17,jp,0 0 0 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,07-01-17,jp,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,07-01-17,jp,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08-01-17,jp,0 1 0 0 0 0
2,Closer                                                                      ,The Chainsmokers ,08-01-17,jp,0 1 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,08-01-17,jp,0 1 0 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,08-01-17,jp,0 1 0 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,08-01-17,jp,0 1 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08-01-17,jp,0 1 0 0 0 0
7,Don't Wanna Know                                                            ,Maroon 5         ,08-01-17,jp,0 1 0 0 0 0
8,24K Magic                                                                   ,Bruno Mars       ,08-01-17,jp,0 1 0 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,08-01-17,jp,0 1 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,08-01-17,jp,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09-01-17,jp,0 1 0 0 0 0
2,Closer                                                                      ,The Chainsmokers ,09-01-17,jp,0 1 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,09-01-17,jp,0 1 0 0 0 0
4,Don't Wanna Know                                                            ,Maroon 5         ,09-01-17,jp,0 1 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,09-01-17,jp,0 1 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09-01-17,jp,0 1 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,09-01-17,jp,0 1 0 0 0 0
8,24K Magic                                                                   ,Bruno Mars       ,09-01-17,jp,0 1 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,09-01-17,jp,0 1 0 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09-01-17,jp,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,10-01-17,jp,0 0 0 0 0 0
2,Closer                                                                      ,The Chainsmokers ,10-01-17,jp,0 0 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,10-01-17,jp,0 0 0 0 0 0
4,Don't Wanna Know                                                            ,Maroon 5         ,10-01-17,jp,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10-01-17,jp,0 0 0 0 0 0
6,I Feel It Coming                                                            ,The Weeknd       ,10-01-17,jp,0 0 0 0 0 0
7,24K Magic                                                                   ,Bruno Mars       ,10-01-17,jp,0 0 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,10-01-17,jp,0 0 0 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10-01-17,jp,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,10-01-17,jp,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,11-01-17,jp,0 0 0 0 0 0
2,Closer                                                                      ,The Chainsmokers ,11-01-17,jp,0 0 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,11-01-17,jp,0 0 0 0 0 0
4,Don't Wanna Know                                                            ,Maroon 5         ,11-01-17,jp,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11-01-17,jp,0 0 0 0 0 0
6,24K Magic                                                                   ,Bruno Mars       ,11-01-17,jp,0 0 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,11-01-17,jp,0 0 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,11-01-17,jp,0 0 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,11-01-17,jp,0 0 0 0 0 0
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,11-01-17,jp,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,12-01-17,jp,0 0 0 0 0 0
2,Closer                                                                      ,The Chainsmokers ,12-01-17,jp,0 0 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,12-01-17,jp,0 0 0 0 0 0
4,Don't Wanna Know                                                            ,Maroon 5         ,12-01-17,jp,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12-01-17,jp,0 0 0 0 0 0
6,I Feel It Coming                                                            ,The Weeknd       ,12-01-17,jp,0 0 0 0 0 0
7,24K Magic                                                                   ,Bruno Mars       ,12-01-17,jp,0 0 0 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,12-01-17,jp,0 0 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,12-01-17,jp,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,12-01-17,jp,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,13-01-17,jp,0 0 0 0 0 0
