Position,TrackName,Artist,Date,Country,Indicators
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07-01-17,lv,0 0 1 0 0 0
5,Closer                                                                      ,The Chainsmokers ,07-01-17,lv,0 0 1 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07-01-17,lv,0 0 1 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,07-01-17,lv,0 0 1 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,07-01-17,lv,0 0 1 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,07-01-17,lv,0 0 1 0 0 0
10,Say You Won't Let Go                                                        ,James Arthur     ,07-01-17,lv,0 0 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08-01-17,lv,0 0 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,08-01-17,lv,0 0 1 0 0 0
3,Starboy                                                                     ,The Weeknd       ,08-01-17,lv,0 0 1 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08-01-17,lv,0 0 1 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08-01-17,lv,0 0 1 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,08-01-17,lv,0 0 1 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,08-01-17,lv,0 0 1 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,08-01-17,lv,0 0 1 0 0 0
9,Fake Love                                                                   ,Drake            ,08-01-17,lv,0 0 1 0 0 0
10,Closer                                                                      ,The Chainsmokers ,08-01-17,lv,0 0 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09-01-17,lv,0 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,09-01-17,lv,0 1 1 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09-01-17,lv,0 1 1 0 0 0
4,Starboy                                                                     ,The Weeknd       ,09-01-17,lv,0 1 1 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09-01-17,lv,0 1 1 0 0 0
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09-01-17,lv,0 1 1 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,09-01-17,lv,0 1 1 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,09-01-17,lv,0 1 1 0 0 0
9,Closer                                                                      ,The Chainsmokers ,09-01-17,lv,0 1 1 0 0 0
10,All We Know                                                                 ,The Chainsmokers ,09-01-17,lv,0 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,10-01-17,lv,0 0 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,10-01-17,lv,0 0 1 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10-01-17,lv,0 0 1 0 0 0
4,Starboy                                                                     ,The Weeknd       ,10-01-17,lv,0 0 1 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10-01-17,lv,0 0 1 0 0 0
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10-01-17,lv,0 0 1 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,10-01-17,lv,0 0 1 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,10-01-17,lv,0 0 1 0 0 0
9,Just Hold On                                                                ,Steve Aoki       ,10-01-17,lv,0 0 1 0 0 0
10,All We Know                                                                 ,The Chainsmokers ,10-01-17,lv,0 0 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,11-01-17,lv,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,11-01-17,lv,0 0 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11-01-17,lv,0 0 0 0 0 0
4,Starboy                                                                     ,The Weeknd       ,11-01-17,lv,0 0 0 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,11-01-17,lv,0 0 0 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11-01-17,lv,0 0 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,11-01-17,lv,0 0 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,11-01-17,lv,0 0 0 0 0 0
9,All We Know                                                                 ,The Chainsmokers ,11-01-17,lv,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,11-01-17,lv,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,12-01-17,lv,0 0 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,12-01-17,lv,0 0 1 0 0 0
3,Starboy                                                                     ,The Weeknd       ,12-01-17,lv,0 0 1 0 0 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12-01-17,lv,0 0 1 0 0 0
5,I Feel It Coming                                                            ,The Weeknd       ,12-01-17,lv,0 0 1 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12-01-17,lv,0 0 1 0 0 0
