Position,TrackName,Artist,Date,Country,Indicators
7,All Night                                                                   ,The Vamps        ,07-01-17,ie,0 1 0 0 0 0
8,Sexual                                                                      ,NEIKED           ,07-01-17,ie,0 1 0 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,07-01-17,ie,0 1 0 0 0 0
10,Just Hold On                                                                ,Steve Aoki       ,07-01-17,ie,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08-01-17,ie,0 1 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,08-01-17,ie,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08-01-17,ie,0 1 0 0 0 0
4,Starboy                                                                     ,The Weeknd       ,08-01-17,ie,0 1 0 0 0 0
5,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,08-01-17,ie,0 1 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,08-01-17,ie,0 1 0 0 0 0
7,Touch                                                                       ,Little Mix       ,08-01-17,ie,0 1 0 0 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08-01-17,ie,0 1 0 0 0 0
9,All Night                                                                   ,The Vamps        ,08-01-17,ie,0 1 0 0 0 0
10,Just Hold On                                                                ,Steve Aoki       ,08-01-17,ie,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09-01-17,ie,0 1 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,09-01-17,ie,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09-01-17,ie,0 1 0 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09-01-17,ie,0 1 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,09-01-17,ie,0 1 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,09-01-17,ie,0 1 0 0 0 0
7,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09-01-17,ie,0 1 0 0 0 0
8,Touch                                                                       ,Little Mix       ,09-01-17,ie,0 1 0 0 0 0
9,Just Hold On                                                                ,Steve Aoki       ,09-01-17,ie,0 1 0 0 0 0
10,All Night                                                                   ,The Vamps        ,09-01-17,ie,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,10-01-17,ie,0 1 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,10-01-17,ie,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10-01-17,ie,0 1 0 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10-01-17,ie,0 1 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,10-01-17,ie,0 1 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10-01-17,ie,0 1 0 0 0 0
7,Say You Won't Let Go                                                        ,James Arthur     ,10-01-17,ie,0 1 0 0 0 0
8,Touch                                                                       ,Little Mix       ,10-01-17,ie,0 1 0 0 0 0
9,Just Hold On                                                                ,Steve Aoki       ,10-01-17,ie,0 1 0 0 0 0
10,All Night                                                                   ,The Vamps        ,10-01-17,ie,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,11-01-17,ie,0 1 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,11-01-17,ie,0 1 0 0 0 0
