Position,Track Name,Artist,Date,Country
9,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,09/01/2017,us
10,Black Beatles                                                               ,Rae Sremmurd     ,09/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,10/01/2017,us
2,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,us
3,Fake Love                                                                   ,Drake            ,10/01/2017,us
4,Starboy                                                                     ,The Weeknd       ,10/01/2017,us
5,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,us
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,us
7,Bounce Back                                                                 ,Big Sean         ,10/01/2017,us
8,Caroline                                                                    ,Aminé           ,10/01/2017,us
9,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,10/01/2017,us
10,Black Beatles                                                               ,Rae Sremmurd     ,10/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,11/01/2017,us
2,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,us
3,Fake Love                                                                   ,Drake            ,11/01/2017,us
4,Starboy                                                                     ,The Weeknd       ,11/01/2017,us
5,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,us
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,us
7,Bounce Back                                                                 ,Big Sean         ,11/01/2017,us
8,Caroline                                                                    ,Aminé           ,11/01/2017,us
9,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,11/01/2017,us
10,Black Beatles                                                               ,Rae Sremmurd     ,11/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,12/01/2017,us
2,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,us
3,Fake Love                                                                   ,Drake            ,12/01/2017,us
4,Starboy                                                                     ,The Weeknd       ,12/01/2017,us
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12/01/2017,us
6,Bounce Back                                                                 ,Big Sean         ,12/01/2017,us
7,Castle on the Hill                                                          ,Ed Sheeran       ,12/01/2017,us
8,Caroline                                                                    ,Aminé           ,12/01/2017,us
9,Black Beatles                                                               ,Rae Sremmurd     ,12/01/2017,us
10,Closer                                                                      ,The Chainsmokers ,12/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,13/01/2017,us
2,Shape of You                                                                ,Ed Sheeran       ,13/01/2017,us
3,Fake Love                                                                   ,Drake            ,13/01/2017,us
4,Starboy                                                                     ,The Weeknd       ,13/01/2017,us
5,Paris                                                                       ,The Chainsmokers ,13/01/2017,us
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13/01/2017,us
7,Bounce Back                                                                 ,Big Sean         ,13/01/2017,us
8,Caroline                                                                    ,Aminé           ,13/01/2017,us
9,Black Beatles                                                               ,Rae Sremmurd     ,13/01/2017,us
